TO,LH,RH,LK,RK,LA,RA
527.00,445.00,579.00,312.00,712.00,0.00,0.00
523.10,442.92,581.08,312.00,712.00,0.00,0.00
519.98,439.18,584.41,312.00,712.00,0.00,0.00
517.52,434.54,588.34,312.00,712.00,0.00,0.00
515.48,429.51,592.46,312.00,712.00,0.00,0.00
513.66,424.42,596.53,312.00,712.00,0.00,0.00
511.96,419.45,600.39,312.00,712.00,0.00,0.00
510.28,414.69,603.95,312.00,712.00,0.00,0.00
508.58,410.22,607.19,317.87,712.00,0.00,0.00
506.81,406.04,610.07,324.68,712.00,0.00,0.00
504.93,402.15,612.59,331.03,707.94,0.00,0.00
502.93,398.55,614.78,336.94,704.34,0.00,0.00
500.77,395.22,616.63,342.43,701.25,0.00,0.00
498.44,392.12,618.17,347.54,698.66,0.00,0.00
495.93,389.23,619.40,352.30,696.54,0.00,0.00
493.20,386.54,620.35,356.76,694.88,0.00,0.00
490.24,384.00,621.03,360.96,693.65,0.00,0.00
487.03,381.61,621.45,364.93,692.84,0.00,0.00
483.55,379.32,621.62,368.71,692.42,0.00,0.00
479.77,377.13,621.55,372.33,692.40,0.00,0.00
475.67,375.00,621.25,375.84,692.74,0.00,0.00
471.21,372.91,620.72,379.27,693.45,0.00,0.00
466.37,370.84,619.97,382.66,694.52,0.00,0.00
461.12,368.78,619.00,386.03,695.95,0.00,0.00
455.42,366.70,617.80,389.41,697.74,0.00,0.00
449.23,364.58,616.38,392.85,699.89,0.00,0.00
442.51,362.39,614.74,396.37,702.40,0.00,0.00
435.21,360.13,612.86,400.02,705.29,0.00,0.00
427.28,357.76,610.74,403.81,708.56,0.00,0.00
418.68,355.27,608.37,407.79,712.00,0.00,0.00
409.34,352.63,605.74,411.98,712.00,0.00,0.00
402.50,349.83,602.83,416.44,712.00,0.00,0.00
397.22,346.83,600.00,421.19,712.00,0.00,0.00
392.14,343.61,597.43,426.28,712.00,0.00,0.00
387.64,341.00,595.10,431.63,712.00,0.00,0.00
383.66,341.00,593.00,437.11,712.00,0.00,0.00
380.16,341.00,591.10,442.62,712.00,0.00,0.00
377.09,341.00,589.39,448.06,712.00,0.00,0.00
374.40,341.00,587.83,453.36,712.00,0.00,0.00
372.07,341.00,586.43,458.47,712.00,0.00,0.00
370.05,341.00,585.17,463.34,712.00,0.00,0.00
368.33,341.00,584.02,467.92,712.00,0.00,0.00
366.86,341.00,582.99,472.20,712.00,0.00,0.00
365.63,341.00,582.06,476.16,712.00,0.00,0.00
364.61,341.00,581.22,479.78,712.00,0.00,0.00
363.78,341.00,580.46,480.00,712.00,0.00,0.00
363.12,341.00,579.78,480.00,712.00,0.00,0.00
362.62,341.00,579.16,480.00,712.00,0.00,0.00
362.26,341.00,579.00,480.00,712.00,0.00,0.00
362.03,341.00,579.00,480.00,712.00,0.00,0.00
361.92,341.00,579.00,480.00,712.00,0.00,0.00
361.90,341.00,579.00,480.00,712.00,0.00,0.00
361.98,341.00,579.00,480.00,712.00,0.00,0.00
362.14,341.00,579.00,480.00,712.00,0.00,0.00
362.38,341.00,579.00,480.00,712.00,0.00,0.00
362.68,341.00,579.00,480.00,712.00,0.00,0.00
363.04,341.00,579.00,480.00,712.00,0.00,0.00
363.46,341.00,579.00,480.00,712.00,0.00,0.00
363.92,341.00,579.00,480.00,712.00,0.00,0.00
364.43,341.00,579.00,480.00,712.00,0.00,0.00
364.98,341.00,579.00,480.00,712.00,0.00,0.00
365.55,341.00,579.00,480.00,712.00,0.00,0.00
366.16,341.00,579.00,480.00,712.00,0.00,0.00
366.80,341.00,579.00,480.00,712.00,0.00,0.00
367.45,341.00,579.00,480.00,712.00,0.00,0.00
368.13,341.00,579.00,480.00,712.00,0.00,0.00
368.83,341.00,579.00,480.00,712.00,0.00,0.00
369.54,341.00,579.00,480.00,712.00,0.00,0.00
370.26,341.00,579.00,480.00,712.00,0.00,0.00
